timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103374129,1110,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,1110,0,0
1667103375239,531,Request1-1,200,OK,Thread Group 1-10,text,true,,17457,119,10,10,https://www.google.com/,514,0,0
1667103374167,1692,Request1,200,OK,Thread Group 1-2,text,true,,18204,234,10,10,https://www.google.com/,1123,0,0
1667103374167,1123,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,1123,0,0
1667103375291,568,Request1-1,200,OK,Thread Group 1-2,text,true,,17501,119,10,10,https://www.google.com/,550,0,0
1667103374915,1052,Request1,200,OK,Thread Group 1-7,text,true,,18186,234,10,10,https://www.google.com/,487,0,0
1667103374915,487,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,487,0,0
1667103375402,565,Request1-1,200,OK,Thread Group 1-7,text,true,,17483,119,10,10,https://www.google.com/,551,0,0
1667103374944,1234,Request1,200,OK,Thread Group 1-8,text,true,,18180,234,10,10,https://www.google.com/,707,0,0
1667103374944,707,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,707,0,0
1667103375651,527,Request1-1,200,OK,Thread Group 1-8,text,true,,17477,119,10,10,https://www.google.com/,514,0,0
1667103374587,1775,Request1,200,OK,Thread Group 1-6,text,true,,18240,234,10,10,https://www.google.com/,969,0,0
1667103374587,969,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,969,0,0
1667103375557,805,Request1-1,200,OK,Thread Group 1-6,text,true,,17537,119,10,10,https://www.google.com/,787,0,0
1667103374691,2036,Request1,200,OK,Thread Group 1-3,text,true,,18171,234,10,10,https://www.google.com/,1123,0,0
1667103374691,1123,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,115,10,10,https://google.com/,1123,0,0
1667103375814,913,Request1-1,200,OK,Thread Group 1-3,text,true,,17468,119,10,10,https://www.google.com/,904,0,0
1667103374986,1759,Request1,200,OK,Thread Group 1-5,text,true,,18157,234,10,10,https://www.google.com/,753,0,0
1667103374986,753,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,753,0,0
1667103375739,1006,Request1-1,200,OK,Thread Group 1-5,text,true,,17454,119,10,10,https://www.google.com/,994,0,0
1667103375860,1057,Request1,200,OK,Thread Group 1-2,text,true,,18250,234,10,10,https://www.google.com/,526,0,0
1667103375125,1782,Request1,200,OK,Thread Group 1-4,text,true,,18211,234,10,10,https://www.google.com/,1289,0,0
1667103375860,526,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,115,10,10,https://google.com/,526,0,0
1667103375125,1289,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,1289,0,0
1667103376386,531,Request1-1,200,OK,Thread Group 1-2,text,true,,17547,119,10,10,https://www.google.com/,522,0,0
1667103376414,493,Request1-1,200,OK,Thread Group 1-4,text,true,,17508,119,10,10,https://www.google.com/,470,0,0
1667103376427,884,Request1,200,OK,Thread Group 1-6,text,true,,18225,234,10,10,https://www.google.com/,379,0,0
1667103376427,379,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,115,10,10,https://google.com/,379,0,0
1667103376807,504,Request1-1,200,OK,Thread Group 1-6,text,true,,17522,119,10,10,https://www.google.com/,490,0,0
1667103375398,1985,Request1,200,OK,Thread Group 1-1,text,true,,18191,234,10,10,https://www.google.com/,1430,0,0
1667103375398,1430,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,115,10,10,https://google.com/,1430,0,0
1667103376829,554,Request1-1,200,OK,Thread Group 1-1,text,true,,17488,119,10,10,https://www.google.com/,543,0,0
1667103375770,1737,Request1,200,OK,Thread Group 1-10,text,true,,18140,234,10,10,https://www.google.com/,561,0,0
1667103375770,561,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,115,10,10,https://google.com/,561,0,0
1667103376331,1176,Request1-1,200,OK,Thread Group 1-10,text,true,,17437,119,10,10,https://www.google.com/,1163,0,0
1667103375745,1869,Request1,200,OK,Thread Group 1-9,text,true,,18200,234,10,10,https://www.google.com/,1315,0,0
1667103375745,1315,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,115,10,10,https://google.com/,1315,0,0
1667103377060,554,Request1-1,200,OK,Thread Group 1-9,text,true,,17497,119,10,10,https://www.google.com/,542,0,0
1667103376178,1515,Request1,200,OK,Thread Group 1-8,text,true,,18202,234,10,10,https://www.google.com/,968,0,0
1667103376178,968,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,115,10,10,https://google.com/,968,0,0
1667103377146,547,Request1-1,200,OK,Thread Group 1-8,text,true,,17499,119,10,10,https://www.google.com/,534,0,0
1667103375968,1788,Request1,200,OK,Thread Group 1-7,text,true,,18186,234,10,10,https://www.google.com/,1264,0,0
1667103375968,1264,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,115,10,10,https://google.com/,1264,0,0
1667103377232,524,Request1-1,200,OK,Thread Group 1-7,text,true,,17483,119,10,10,https://www.google.com/,513,0,0
1667103376920,999,Request1,200,OK,Thread Group 1-4,text,true,,18185,234,10,10,https://www.google.com/,440,0,0
1667103376920,440,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,115,10,10,https://google.com/,440,0,0
1667103377360,559,Request1-1,200,OK,Thread Group 1-4,text,true,,17482,119,10,10,https://www.google.com/,547,0,0
1667103376745,1264,Request1,200,OK,Thread Group 1-5,text,true,,18222,234,10,10,https://www.google.com/,377,0,0
1667103376745,377,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,115,10,10,https://google.com/,377,0,0
1667103377122,887,Request1-1,200,OK,Thread Group 1-5,text,true,,17519,119,10,10,https://www.google.com/,875,0,0
1667103376728,1305,Request1,200,OK,Thread Group 1-3,text,true,,18154,234,10,10,https://www.google.com/,378,0,0
